sport,start_time_weekday_cat,start_time_daytime_cat,start_time_season_cat,duration_s,distance_km,calories_kcal,speed_avg_kmh,speed_max_kmh,start_lat,start_long,end_lat,end_long,hydration_l,created_date_year,created_date_month,created_date_day,created_date_hour,created_date_minute,created_date_second,start_time_year,start_time_month,start_time_day,start_time_hour,start_time_minute,start_time_second,end_time_year,end_time_month,end_time_day,end_time_hour,end_time_minute,end_time_second,sport_BADMINTON,sport_BEACH_VOLLEY,sport_CROSSFIT,sport_CROSS_TRAINING,sport_CYCLING_SPORT,sport_CYCLING_TRANSPORTATION,sport_FITNESS_WALKING,sport_ICE_SKATING,sport_ROLLER_SKATING,sport_RUNNING,sport_RUNNING_CANICROSS,sport_SKIING_CROSS_COUNTRY,sport_STAIR_CLIMBING,sport_STRETCHING,sport_SWIMMING,sport_WALKING,sport_WEIGHT_TRAINING,source_INPUT_MANUAL_MOBILE,source_TRACK_MOBILE,start_time_weekday_Friday,start_time_weekday_Monday,start_time_weekday_Saturday,start_time_weekday_Sunday,start_time_weekday_Thursday,start_time_weekday_Tuesday,start_time_weekday_Wednesday,start_time_daytime_AFTERNOON,start_time_daytime_EVENING,start_time_daytime_MORNING,start_time_daytime_NIGHT,start_time_season_AUTUMN,start_time_season_SPRING,start_time_season_SUMMER,start_time_season_WINTER
WALKING,Friday,AFTERNOON,WINTER,2200,3.03,222.473,4.958181818181818,7.2,64.231769,27.729435,64.231822,27.729583,0.13289327687626773,2017,1,13,16,50,10,2017,1,13,16,48,49,2017,1,13,17,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Saturday,MORNING,WINTER,2326,2.67,203.147,4.132416165090284,9.0,64.23186,27.72949,64.23197,27.729599,0.13289327687626773,2017,1,14,8,24,48,2017,1,14,8,23,40,2017,1,14,9,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
SKIING_CROSS_COUNTRY,Saturday,AFTERNOON,WINTER,1967,5.74,579.315,10.505338078291816,29.7,64.231745,27.729595,64.231791,27.729502,0.36871936842105263,2017,1,14,11,58,37,2017,1,14,11,57,29,2017,1,14,12,30,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Saturday,EVENING,WINTER,2584,3.93,317.996,5.475232198142415,7.2,64.231843,27.72955,64.231807,27.729512,0.13289327687626773,2017,1,14,18,23,1,2017,1,14,17,39,43,2017,1,14,18,22,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
WALKING,Sunday,MORNING,WINTER,2042,2.27,175.178,4.001958863858961,6.3,64.231802,27.729536,64.231846,27.729532,0.13289327687626773,2017,1,15,8,52,2,2017,1,15,8,50,56,2017,1,15,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
RUNNING,Sunday,AFTERNOON,WINTER,2100,4.87,492.235,8.348571428571429,12.6,64.231749,27.729508,64.231827,27.729596,0.2855424999999999,2017,1,15,15,32,21,2017,1,15,15,30,49,2017,1,15,16,5,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
WALKING,Monday,AFTERNOON,WINTER,2060,2.24,174.583,3.914563106796117,6.3,64.231855,27.729545,64.231803,27.72964,0.13289327687626773,2017,1,16,16,2,0,2017,1,16,16,0,33,2017,1,16,16,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Tuesday,AFTERNOON,WINTER,1684,2.18,157.638,4.660332541567697,8.1,64.231892,27.729557,64.231784,27.729602,0.13289327687626773,2017,1,17,15,18,6,2017,1,17,14,49,47,2017,1,17,15,17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
SKIING_CROSS_COUNTRY,Tuesday,AFTERNOON,WINTER,2604,7.07,729.223,9.774193548387096,29.7,64.231746,27.729865,64.2318,27.729544,0.36871936842105263,2017,1,17,17,17,1,2017,1,17,16,35,12,2017,1,17,17,18,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
WALKING,Wednesday,MORNING,WINTER,2075,2.34,179.434,4.059759036144579,8.1,64.231773,27.729381,64.231825,27.729525,0.13289327687626773,2017,1,18,8,25,57,2017,1,18,8,23,12,2017,1,18,8,59,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
WEIGHT_TRAINING,Wednesday,AFTERNOON,WINTER,3600,0.0,590.0,0.0,2.400000035762787,64.231794,27.729735,64.231934,27.729462,0.2025800774647887,2017,1,18,17,25,22,2017,1,18,13,24,0,2017,1,18,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
WALKING,Wednesday,AFTERNOON,WINTER,2137,2.54,190.359,4.27889564810482,6.3,64.231794,27.729735,64.231934,27.729462,0.13289327687626773,2017,1,18,17,18,6,2017,1,18,16,44,42,2017,1,18,17,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
WALKING,Thursday,MORNING,WINTER,1891,2.27,169.403,4.321523003701745,6.3,64.231753,27.729434,64.231823,27.729525,0.13289327687626773,2017,1,19,8,41,50,2017,1,19,8,40,20,2017,1,19,9,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
WALKING,Thursday,AFTERNOON,WINTER,1737,2.14,157.954,4.435233160621761,6.3,64.231618,27.729621,64.231823,27.72952,0.13289327687626773,2017,1,19,14,5,48,2017,1,19,14,4,33,2017,1,19,14,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
BADMINTON,Thursday,EVENING,WINTER,3600,0.0,540.833,0.0,5.0,64.231618,27.729621,64.231823,27.72952,0.265088,2017,1,19,20,31,37,2017,1,19,18,0,0,2017,1,19,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
WALKING,Friday,MORNING,WINTER,1866,1.8,148.345,3.472668810289389,6.3,64.231791,27.729798,64.23182,27.729563,0.13289327687626773,2017,1,20,8,51,50,2017,1,20,8,50,38,2017,1,20,9,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
